8116 4 4
0.00122 0.00120118 0.00120118 0.001244
0.001242 0.00125 0.00121001 0.00125
0.001242 0.00125 0.00121001 0.00125
0.00121501 0.00122 0.00121501 0.00127
0.00121501 0.00122 0.00121501 0.00127
0.00121501 0.00128 0.00121501 0.00128
0.00121501 0.00128 0.00121501 0.00128
0.00128 0.00124499 0.00121501 0.0012899
0.00128 0.00124499 0.00121501 0.0012899
0.0012251 0.00121004 0.0012 0.0012898
0.0012251 0.00121004 0.0012 0.0012898
0.001225 0.0012797 0.00122001 0.0012797
0.001225 0.0012797 0.00122001 0.0012797
0.0012697 0.0012698 0.00122002 0.0012698
0.0012697 0.0012698 0.00122002 0.0012698
0.0012311 0.0012311 0.0012311 0.0012311
0.0012311 0.0012311 0.0012311 0.0012311
0.001238 0.001248 0.001238 0.0012777
0.001238 0.001248 0.001238 0.0012777
0.00124 0.00128777 0.00124 0.00128777
0.00124 0.00128777 0.00124 0.00128777
0.00128777 0.0012558 0.00125512 0.00129
0.00128777 0.0012558 0.00125512 0.00129
0.0012884 0.0013 0.0012559 0.001399
0.0012884 0.0013 0.0012559 0.001399
0.00139 0.001257 0.001241 0.001399
0.00139 0.001257 0.001241 0.001399
0.001265 0.001399 0.001265 0.001399
0.001265 0.001399 0.001265 0.001399
0.00139984 0.0015002 0.00127005 0.00157
0.00139984 0.0015002 0.00127005 0.00157
0.0015001 0.00156 0.001295 0.00156
0.0015001 0.00156 0.001295 0.00156
0.00157 0.00144111 0.00144111 0.00157
0.00157 0.00144111 0.00144111 0.00157
0.00149 0.001431 0.00137504 0.0015
0.00149 0.001431 0.00137504 0.0015
0.00143101 0.001521 0.00143101 0.001521
0.00143101 0.001521 0.00143101 0.001521
0.001461 0.00153101 0.00142 0.00153101
0.001461 0.00153101 0.00142 0.00153101
0.001482 0.00156101 0.001482 0.00156101
0.001482 0.00156101 0.001482 0.00156101
0.00156101 0.00145 0.00145 0.0015689
0.00156101 0.00145 0.00145 0.0015689
0.0014301 0.00141 0.001381 0.00151899
0.0014301 0.00141 0.001381 0.00151899
0.001411 0.00139 0.00139 0.0015
0.001411 0.00139 0.00139 0.0015
0.00139 0.001422 0.00139 0.001422
0.00139 0.001422 0.00139 0.001422
0.00145 0.00143 0.0014001 0.00150999
0.00145 0.00143 0.0014001 0.00150999
0.001465 0.00140011 0.00140011 0.001465
